"Season","Week","Game","Day","Team-Home","Team-Away","Line-League","Line-Pinnacle","Line-Diff","Score-Home","Score-Away","Score-Diff","Team-Win","Team-Pick","Result","Points-Allocated","Points-Earned"
2025,1,1,"Thurs","PHI","DAL",-7.5,-8,-0.5,24,20,-3.5,"DAL","PHI","L",0,0
2025,1,2,"Fri","LAC","KC",3.5,3,-0.5,27,21,9.5,"LAC","LAC","W",0,0
2025,1,3,"Sun","ATL","TB",2.5,1,-1.5,20,23,-0.5,"TB","ATL","L",4,0
2025,1,4,"Sun","CLE","CIN",5.5,4.5,-1,16,17,4.5,"CLE","CLE","W",0,0
2025,1,5,"Sun","IND","MIA",-1.5,-1,0.5,33,8,23.5,"IND","MIA","L",0,0
2025,1,6,"Sun","JAX","CAR",-3.5,-4,-0.5,26,10,12.5,"JAX","JAX","W",0,0
2025,1,7,"Sun","NE","LV",-3.5,-2.5,1,13,20,-10.5,"LV","LV","W",1,1
2025,1,8,"Sun","NO","ARI",6.5,6,-0.5,13,20,-0.5,"ARI","NO","L",0,0
2025,1,9,"Sun","NYJ","PIT",3.5,3,-0.5,32,34,1.5,"NYJ","NYJ","W",0,0
2025,1,10,"Sun","WAS","NYG",-6.5,-6,0.5,21,6,8.5,"WAS","NYG","L",0,0
2025,1,11,"Sun","DEN","TEN",-8.5,-9,-0.5,20,12,-0.5,"TEN","DEN","L",0,0
2025,1,12,"Sun","SEA","SF",2.5,1,-1.5,13,17,-1.5,"SF","SEA","L",3,0
2025,1,13,"Sun","GB","DET",-2.5,-1.5,1,27,13,11.5,"GB","DET","L",2,0
2025,1,14,"Sun","LAR","HOU",-2.5,-3,-0.5,14,9,2.5,"LAR","LAR","W",0,0
2025,1,15,"Sun","BUF","BAL",-1.5,1,2.5,41,40,-0.5,"BAL","BAL","W",5,5
2025,1,16,"Mon","CHI","MIN",1.5,1,-0.5,24,27,-1.5,"MIN","CHI","L",0,0
2025,2,1,"Thurs","GB","WAS",-3.5,-3.5,0,,,,"WAS","GB","L",0,0
2025,2,2,"Sun","BAL","CLE",-12.5,-11.5,1,,,,"CLE","CLE","W",0,0
2025,2,3,"Sun","CIN","JAX",-5.5,-3.5,2,,,,"JAX","JAX","W",0,0
2025,2,4,"Sun","DAL","NYG",-4.5,-6,-1.5,,,,"NYG","DAL","L",0,0
2025,2,5,"Sun","DET","CHI",-4.5,-6,-1.5,,,,"CHI","DET","L",0,0
2025,2,6,"Sun","MIA","NE",-2.5,-1,1.5,,,,"NE","NE","W",0,0
2025,2,7,"Sun","NO","SF",7.5,4.5,-3,,,,"SF","NO","L",0,0
2025,2,8,"Sun","NYJ","BUF",8.5,6.5,-2,,,,"BUF","NYJ","L",0,0
2025,2,9,"Sun","PIT","SEA",-3.5,-3,0.5,,,,"SEA","SEA","W",0,0
2025,2,10,"Sun","TEN","LAR",5.5,6,0.5,,,,"LAR","LAR","W",0,0
2025,2,11,"Sun","ARI","CAR",-6.5,-7,-0.5,,,,"CAR","ARI","L",0,0
2025,2,12,"Sun","IND","DEN",3.5,2.5,-1,,,,"DEN","IND","L",0,0
2025,2,13,"Sun","KC","PHI",-1.5,1,2.5,,,,"PHI","PHI","W",0,0
2025,2,14,"Sun","MIN","ATL",-5.5,-5,0.5,,,,"ATL","ATL","W",0,0
2025,2,15,"Mon","HOU","TB",-2.5,-2.5,0,,,,"TB","HOU","L",0,0
2025,2,16,"Mon","LV","LAR",3.5,3.5,0,,,,"LAR","LV","L",0,0
